itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,42270,2,455,1.09,42315.0,12.4603,4502445,190243,52943
102110,1,TIGER 200,42110,2,405,0.97,42155.0,12.6066,550345,23170,26424
252670,3,KODEX 200선물인버스2X,2100,5,-45,-2.1,2100.0,-24.7369,352188236,740686,19345
122630,3,KODEX 레버리지,26540,2,540,2.08,26697.0,24.1642,36576118,969567,19215
153130,6,KODEX 단기채권,102730,3,0,0.0,102731.0,0.1315,18597,1910,19113
102780,2,KODEX 삼성그룹,10040,2,120,1.21,10066.0,7.826,205620,2064,17530
278540,1,KODEX MSCI Korea TR,13585,2,140,1.04,13592.0,11.5767,358787,4874,16601
278530,1,KODEX 200TR,13600,2,115,0.85,13609.0,12.7979,97053,1319,15504
310970,1,TIGER MSCI Korea TR,17080,2,170,1.01,17081.0,11.7647,701,11,14808
273130,6,KODEX 종합채권(AA-이상)액티브,108660,5,-135,-0.12,108631.0,-1.2571,6518,708,14245
148020,1,KBSTAR 200,42370,2,425,1.01,42399.0,12.7462,153570,6504,12520
305720,2,KODEX 2차전지산업,18755,2,195,1.05,18770.0,26.3014,1447225,27189,12059
114800,3,KODEX 인버스,3920,5,-40,-1.01,3922.0,-12.5828,43217170,169611,11544
233740,1,KODEX 코스닥150 레버리지,14055,2,505,3.73,14176.0,-12.9178,10722835,149345,10612
214980,6,KODEX 단기채권PLUS,102995,2,25,0.02,102998.0,0.1312,337140,34723,10021
157450,6,TIGER 단기통안채,100110,5,-5,0.0,100111.0,0.115,1285,128,9140
292150,2,TIGER TOP10,15030,2,190,1.28,15049.0,15.6213,469834,7074,8793
364980,2,TIGER KRX2차전지K-뉴딜,16360,2,110,0.68,16381.0,24.0458,993343,16281,8393
139260,2,TIGER 200 IT,39380,2,730,1.89,39484.0,21.6556,433209,17070,8364
152100,1,ARIRANG 200,42585,2,455,1.08,42636.0,12.641,89256,3797,8176
305540,2,TIGER 2차전지테마,16810,2,240,1.45,16831.0,22.0176,996503,16775,7968
105190,1,KINDEX 200,42535,2,430,1.02,42572.0,12.746,164006,6959,7635
